# منقولٌ حرفاً من صورة «من الإسكندرية إلى المحافظات — 10 مارس 2026»
# الأعمدة: # | الوجهة كما كُتبت | ليموزين(تجاري) | ليموزين(مناسب) | ليموزين(نص) | ليموزين(ذ/ع) | فان(تجاري) | فان(مناسب) | فان(نص) | فان(ذ/ع) | علامة
# «نص» و«ذ/ع» غير مستعملين بقرار بدر. صفر = غير معروض.
n	dest_raw	lim_com	lim_sui	lim_half	lim_rt	van_com	van_sui	van_half	van_rt	flag
1	أكتوبر - الشيخ زايد - سفنكس	1550	1300	1200	2400	1650	1450	1300	2500	
2	القاهرة وسط البلد حتى التجمع قبل الجامعة	1600	1350	1250	2500	1700	1500	1350	2600	
3	التجمع بعد الجامعة - الرحاب - مطار القاهرة - العبور	1650	1400	1300	2600	1750	1550	1400	2700	
4	مدينتي - المستقبل - الشروق - حلوان	1800	1550	1400	2800	1900	1700	1500	2900	
5	العاشر - بدر	1850	1600	1550	2900	1950	1750	1600	3000	
6	العاصمة الإدارية	1950	1700	1650	3000	2100	1850	1700	3200	
8	مطار البرج - وكير	650	550	500	900	800	600	550	1100	
9	الكنج - اليكس ويست	550	500	450	900	750	550	500	1000	
10	أفريكانو	0	0	0	2000	0	0	0	2300	لا سعر اتجاهٍ واحد — مستبعَد
11	من الكيلو 40 حتى بوابة الحمام	850	650	600	1200	900	750	700	1300	
12	من بعد بوابة الحمام حتى فندق توليب الكيلو 80	1000	700	650	1350	1100	950	800	1450	
13	من الكيلو 80 إلى العالمين الجديدة	1200	1000	900	1800	1350	1150	1000	1950	
14	سيدي عبد الرحمن - لازوردي - مراسي	1300	1100	1000	1950	1400	1200	1100	2100	
15	تلال - غزالة - الضبعة	1500	1300	1100	2100	1600	1400	1200	2300	
16	مطار العالمين - فوكة	1600	1400	1200	2300	1700	1500	1300	2400	
17	رأس الحكمة - سيدي حنيش - المقلع	2100	1900	1700	2900	2300	2100	1900	3100	
18	مطروح	2500	2200	2000	3700	2800	2500	2300	3900	
19	سيوة	6000	5500	5200	0	6400	5900	5400	0	
20	من بوابة الحمام - القاهرة	1900	1800	1650	3400	2000	1900	1750	3600	الوجهة القاهرة لا الإسكندرية
21	مارينا الحمام - القاهرة	2500	2300	2000	0	2800	2500	2250	0	الوجهة القاهرة لا الإسكندرية
22	الضبعة - القاهرة	3100	2800	2400	0	3300	3000	2600	0	الوجهة القاهرة لا الإسكندرية
23	مطروح - القاهرة	3800	3500	3000	0	4000	3800	3300	0	الوجهة القاهرة لا الإسكندرية
24	السلوم	5600	5000	4500	0	6000	5500	5000	0	
25	بورسعيد	2100	1700	1500	3100	2300	1900	1700	3300	
26	دمياط	1650	1350	1200	2500	1800	1550	1350	2750	
27	كفر الشيخ - المحلة	1600	1300	1100	2400	1750	1500	1300	2600	
28	الإسماعيلية - السويس - السخنة حتى بورتو	2900	2300	2000	3700	3100	2600	2200	3900	
29	المنصورة	1650	1350	1200	2600	1800	1500	1350	2800	
30	كفر الزيات - طنطا - دسوق	1200	1000	900	1800	1400	1100	1000	2000	
31	دمنهور	900	700	600	1300	1000	800	700	1400	
32	الزقازيق	2200	1700	1500	3000	2400	1900	1700	3200	
33	الزعفرانة	3100	2500	2200	0	3400	2700	2500	0	
34	رأس سدر	3900	3200	2900	0	4200	3500	3200	0	
35	شرم الشيخ	5500	4500	4200	0	5900	5000	4600	0	
36	دهب - طابا - نويبع	6000	5400	4800	0	6400	5700	5000	0	
37	الغردقة	5200	4300	4000	0	5600	4600	4300	0	
38	مرسى علم	7200	6200	5700	0	7500	6500	6000	0	
39	الفيوم	2650	2100	1900	3900	2900	2400	2200	4100	
40	قرية تونس الفيوم	2750	2200	2000	4000	3000	2500	2300	4200	
41	بني سويف	3200	2600	2300	4400	3500	2900	2500	4600	
42	المنيا	4500	3800	2900	5600	4500	3900	3400	6000	تجاري الاثنين متساوٍ — يُراجَع
43	أسيوط	5250	4500	4100	7000	5500	4900	4500	7400	
44	سوهاج	6600	5600	5100	0	7000	5800	5400	0	
45	ميناء جرجوب	3800	3000	2700	5100	4200	3300	2900	5400	
46	الأقصر	7300	6300	5700	0	7700	6700	6200	0	
47	أسوان	9500	8500	8000	0	9900	8900	8500	0	
