# منقولٌ حرفاً من صورة «قائمة أسعار القاهرة النهائية ابتداءً من 12/3/2026»
# الأعمدة: المجموعة | نقطة الوصول كما كُتبت | سيدان(تجاري) | سيدان(مناسب) | سيدان(ذ/ع) | فان(تجاري) | فان(مناسب) | فان(ذ/ع)
# صفر = غير معروض في القائمة. و«ذ/ع» غير مستعمل بقرار بدر (بلا مأوى).
group	dest_raw	sedan_com	sedan_sui	sedan_rt	van_com	van_sui	van_rt
مطار القاهرة	مدينة نصر - مصر الجديدة	450	0	900	500	0	1000
مطار القاهرة	زمالك - مهندسين - عجوزة - وسط البلد - الدقي - الرحاب - المعادي - جسر السويس - عين شمس - المطرية - الزيتون - التجمع - حدائق القبة	550	0	1100	600	0	1200
مطار القاهرة	مافيدا - هايد بارك - العبور	600	0	1200	650	0	1300
مطار القاهرة	الهرم - فيصل - مريوطية - حتى ميدان الرماية	650	0	1300	700	0	1400
مطار القاهرة	حدائق الأهرام - أكتوبر - الشروق - المستقبل	750	0	1400	800	0	1500
مطار القاهرة	حلوان - 15 مايو - بدر - العاشر من رمضان	850	0	1600	950	0	1800
مطار سفنكس	الرحاب - التجمع - مدينة نصر - مصر الجديدة - المعادي - زهراء المعادي	900	0	1800	1000	0	2000
مطار سفنكس	أكتوبر - الشيخ زايد - حدائق أكتوبر - حدائق الأهرام	800	0	1600	900	0	1800
مطار سفنكس	وسط البلد - مهندسين - الدقي - العجوزة - الهرم - فيصل	850	0	1700	950	0	1900
مطار سفنكس	مدينتي - مدينة بدر - مدينة المستقبل	1200	0	0	1300	0	0
الإسكندرية	من أكتوبر والشيخ زايد ومطار سفنكس إلى الإسكندرية	1550	1300	2600	1650	1400	2800
الإسكندرية	القاهرة - الإسكندرية (وسط البلد حتى التجمع قبل الجامعة الأمريكية)	1600	1350	2700	1700	1450	2900
الإسكندرية	مطار برج العرب ومدينة برج العرب - أبو قير - معمورة البلد - العجمي	1700	1450	2900	1800	1550	3100
الإسكندرية	الإسكندرية - مطار القاهرة - الرحاب - التجمع من أول الجامعة الأمريكية	1650	1400	2800	1750	1500	3000
الإسكندرية	الإسكندرية - مدينتي - المستقبل - الشروق - (البرج مدينة أو مطار)	1800	1550	3000	1900	1700	3300
الإسكندرية	الإسكندرية - العاشر - بدر	1850	1600	3100	1950	1750	3400
الإسكندرية	من العاصمة الإدارية إلى الإسكندرية والعكس	1950	1700	3300	2100	1850	3600
الساحل الشمالي	من سيدي كرير حتى بوابة الحمام (حتى الكيلو 60)	2000	1800	3600	2100	1900	3800
الساحل الشمالي	مارينا من الكيلو 61 حتى الكيلو 100 مارينا 7	2500	2200	4400	2700	2400	4800
الساحل الشمالي	بورتو جولف مارينا - ريكسوس بريميوم - عبدالرحمن - مراسي - العالمين حتى هايسيندا وايت (حتى الكيلو 140)	2800	2500	5000	3000	2700	5400
الساحل الشمالي	تلال - غزالة - الضبعة (من الكيلو 141 حتى الكيلو 180 قرية إمارات هايتس)	3000	2700	5400	3200	2900	5800
الساحل الشمالي	سيدي حنيش - رأس الحكمة - مطروح - فوكا باي	3600	3300	6600	3900	3600	7200
الساحل الشمالي	السلوم - مينا جرجوب	5800	5200	0	6000	5600	0
الساحل الشمالي	سيوة	7000	0	0	7400	0	0
الساحل الشمالي	وادي النطرون - السادات	1500	1300	2100	1600	1400	2200
الخط الزراعي	دمنهور - كفر الزيات - كفر الدوار - مدينة البرج أو مطار البرج	1700	1500	3000	1850	1600	3200
الخط الزراعي	كفر الشيخ المحافظة - المحلة - المنصورة	1600	1400	2300	1700	1500	2400
الخط الزراعي	شربين - بلقاس - سيدي سالم - دسوق - فاقوس - أبو كبير	1800	1600	2600	1900	1700	2900
الخط الزراعي	الزقازيق - ميت غمر	1300	1100	2000	1400	1200	2100
الخط الزراعي	الإسماعيلية - السويس - المنوفية - طنطا	1500	1300	2200	1600	1400	2300
الخط الزراعي	بنها - العاصمة الإدارية	1000	900	1700	1100	1000	1800
القنال	بورسعيد - بورفؤاد	1800	1600	2700	1900	1700	2900
القنال	دمياط - بورتو سعيد	2000	1700	3000	2100	1800	3200
القنال	رأس البر	2100	1800	3200	2200	1900	3400
البحر الأحمر	السخنة حتى بورتو السخنة	1600	1400	2400	1700	1500	2600
البحر الأحمر	السخنة (للزعفرانة)	1800	1500	2700	1900	1600	2900
البحر الأحمر	الغردقة - الجونة	3500	3200	6000	3700	3400	6500
البحر الأحمر	مكادي - سهل حشيش	3600	3300	6200	3800	3500	6600
البحر الأحمر	سوما باي - سفاجا	3700	3400	6300	3900	3600	6700
البحر الأحمر	القصير	4900	4400	0	5100	4600	0
البحر الأحمر	مرسى علم	6000	5500	0	6300	5800	0
جنوب سيناء	رأس سدر	2400	2200	3500	2500	2300	3600
جنوب سيناء	رأس سدر بعد رأس مطارمة	2500	2300	3700	2600	2400	3800
جنوب سيناء	شرم الشيخ	4000	3600	0	4200	3800	0
جنوب سيناء	دهب - سانت كاترين	4600	4100	0	4700	4300	0
جنوب سيناء	نويبع - طابا - رأس شيطان	5300	4800	0	5400	5000	0
