# «هاي إس» من صورة «بعد التعديل من والي القاهرة — 11/3/2026» ⇒ الفئة minibus
# ترتيبُ الأعمدة مشتقٌّ من صفّ «المنيا» (5500|3500|4000): الأيمن تجاري، الأوسط مناسب، الأيسر ذهاب وعودة.
# القاعدة: متوسط(تجاري، مناسب) — وحيث يوجد سعرٌ واحد فقط فهو المعتمَد (قرار بدر 2026-08-18).
# العمود الأول: عنوانُ المسار في import-cairo.csv | مصدرُ السعر كما كُتب في الصورة | تجاري | مناسب | ذ/ع
cairo_title	source_label	com	sui	rt
مطار القاهرة الدولي - مدينة نصر	جسر السويس _ مدينة نصر _ مصر الجديدة	0	1200	0
مطار القاهرة الدولي - زمالك	الزمالك _ وسط البلد _ الدقي _ عين شمس _ المطرية _ الزيتون _ الرحاب _ المعادي _ التجمع _ حدائق القبة	0	1300	0
مطار القاهرة الدولي - حدائق الأهرام	مدينتي _ شروق _ حدائق الاهرام _ اكتوبر _ مستقبل	0	1400	0
مطار القاهرة الدولي - حلوان	حلوان _ العاشر من رمضان _ 15 مايو _ بدر	0	1500	0
مطار سفنكس - أكتوبر	اكتوبر - وسط البلد (من/مطار سفنكس)	0	1500	0
مطار سفنكس - وسط البلد	اكتوبر - وسط البلد (من/مطار سفنكس)	0	1500	0
مطار سفنكس - الرحاب	التجمع (من/مطار سفنكس)	0	1700	0
أكتوبر والشيخ زايد ومطار سفنكس - الإسكندرية	الاسكندريه _ دمنهور _ بورسعيد	0	2800	0
القاهرة(وسط البلد حتى التجمع قبل الجامعة الأمريكية) - الإسكندرية	الاسكندريه _ دمنهور _ بورسعيد	0	2800	0
مطار القاهرة - الإسكندرية	الاسكندريه _ دمنهور _ بورسعيد	0	2800	0
مدينتي - الإسكندرية	الاسكندريه _ دمنهور _ بورسعيد	0	2800	0
العاشر - الإسكندرية	الاسكندريه _ دمنهور _ بورسعيد	0	2800	0
العاصمة الإدارية - الإسكندرية	الاسكندريه _ دمنهور _ بورسعيد	0	2800	0
القاهرة - دمنهور	الاسكندريه _ دمنهور _ بورسعيد	0	2800	0
القاهرة - بورسعيد	الاسكندريه _ دمنهور _ بورسعيد	0	2800	0
القاهرة - وادي النطرون	وادي النطرون _ السادات	0	2500	0
القاهرة - سيدي كرير حتى بوابة الحمام (حتى الكيلو 60)	مدينة الحمام حتى ك 60	0	3200	0
القاهرة - مارينا من الكيلو 61 حتى الكيلو 100 مارينا 7	من الكيلو 60 حتى مارينا 7	0	3800	0
القاهرة - بورتو جولف مارينا	سيدي عبد الرحمن	0	4000	0
القاهرة - تلال	الضبعة	0	4300	0
القاهرة - سيدي حنيش	راس الحكمة _ فوكا باي _ مطروح	0	4800	0
القاهرة - السلوم	السلوم	0	9000	0
القاهرة - سيوة	سيوة	0	9000	0
القاهرة - بنها	بنها	0	2200	0
القاهرة - الفيوم	الفيوم	0	2500	0
القاهرة - قرية تونس	تونس	0	2800	0
القاهرة - كفر الشيخ المحافظة	كفر الشيخ	0	3000	0
القاهرة - الزقازيق	السويس _ الاسماعيلية _ الزقازيق	0	2600	0
القاهرة - الإسماعيلية	السويس _ الاسماعيلية _ الزقازيق	0	2600	0
القاهرة - دمياط	جمصة _ راس البر _ دمياط	3800	0	0
القاهرة - رأس البر	جمصة _ راس البر _ دمياط	3800	0	0
القاهرة - السخنة حتى بورتو السخنة	السخنة حتى بورتو السخنة	0	2500	0
القاهرة - السخنة (للزعفرانة)	من اول بورتو ثاوث حتى زعفرانة	0	2800	0
القاهرة - الغردقة	الجونة _ الغردقة _ سهل حشيش	0	5000	0
القاهرة - مكادي	مكادي _ سوما باي _ سفاجا	0	5300	0
القاهرة - سوما باي	مكادي _ سوما باي _ سفاجا	0	5300	0
القاهرة - القصير	القصير حد اقصى 10 كيلو من البلد	0	6500	0
القاهرة - رأس سدر	راس سدر	4000	3500	0
القاهرة - رأس سدر بعد رأس مطارمة	راس سدر (مطارمة)	0	3800	0
القاهرة - شرم الشيخ	شرم الشيخ	0	5500	0
القاهرة - دهب	دهب _ نويبع	0	6000	0
القاهرة - نويبع	طابا	0	6500	0
القاهرة - المنيا	المنيا	4000	3500	5500
القاهرة - ملوي	ملوي	0	4000	0
القاهرة - أسيوط	اسيوط	0	5000	0
القاهرة - سوهاج	سوهاج	0	6000	0
القاهرة - مرسى علم	مرسي علم	0	7500	0
القاهرة - الأقصر	الاقصر	0	8500	0
القاهرة - أسوان	اسوان	0	12000	0
