title,originLabel,originLat,originLng,originRadiusKm,destLabel,destLat,destLng,destRadiusKm,bidirectional,suv,minibus
الإسكندرية - أكتوبر,الإسكندرية,31.1991806,29.8951716,20,أكتوبر - الشيخ زايد - سفنكس,29.963099,30.9548988,20,false,1550,
الإسكندرية - القاهرة وسط البلد حتى التجمع قبل الجامعة,الإسكندرية,,,,القاهرة وسط البلد حتى التجمع قبل الجامعة,30.0444,31.2357,20,false,1600,
الإسكندرية - التجمع بعد الجامعة,الإسكندرية,,,,التجمع بعد الجامعة - الرحاب - مطار القاهرة - العبور,30.0038046,31.4249357,20,false,1650,
الإسكندرية - مدينتي,الإسكندرية,,,,مدينتي - المستقبل - الشروق - حلوان,30.0917368,31.6380608,20,false,1800,
الإسكندرية - العاشر,الإسكندرية,,,,العاشر - بدر,30.3119,31.742,20,false,1850,
الإسكندرية - العاصمة الإدارية,الإسكندرية,,,,العاصمة الإدارية,30.023829,31.7549459,20,false,1975,
الإسكندرية - مطار البرج,الإسكندرية,,,,مطار البرج - وكير,30.9177,29.6963,20,false,700,
الإسكندرية - الكنج,الإسكندرية,,,,الكنج - اليكس ويست,31.02,29.79,20,false,650,
الإسكندرية - الكيلو 40 حتى بوابة الحمام,الإسكندرية,,,,من الكيلو 40 حتى بوابة الحمام,30.8167,29.3833,20,false,825,
الإسكندرية - بعد بوابة الحمام حتى فندق توليب الكيلو 80,الإسكندرية,,,,من بعد بوابة الحمام حتى فندق توليب الكيلو 80,30.8167,29.3833,20,false,1025,
الإسكندرية - الكيلو 80 إلى العالمين الجديدة,الإسكندرية,,,,من الكيلو 80 إلى العالمين الجديدة,30.8704633,28.8989395,20,false,1250,
الإسكندرية - سيدي عبد الرحمن,الإسكندرية,,,,سيدي عبد الرحمن - لازوردي - مراسي,30.9667924,28.7391626,20,false,1300,
الإسكندرية - تلال,الإسكندرية,,,,تلال - غزالة - الضبعة,31.0132543,28.6054805,20,false,1500,
الإسكندرية - مطار العالمين,الإسكندرية,,,,مطار العالمين - فوكة,30.9258916,28.4656894,20,false,1600,
الإسكندرية - رأس الحكمة,الإسكندرية,,,,رأس الحكمة - سيدي حنيش - المقلع,31.09,27.8,20,false,2200,
الإسكندرية - مطروح,الإسكندرية,,,,مطروح,29.7876385,27.427041,20,false,2650,
الإسكندرية - سيوة,الإسكندرية,,,,سيوة,29.2034664,25.5192273,20,false,6150,
بوابة الحمام - القاهرة,بوابة الحمام,30.8167,29.3833,20,القاهرة,30.0443879,31.2357257,20,false,1950,
مارينا الحمام - القاهرة,مارينا الحمام,30.8367589,28.9838191,20,القاهرة,,,,false,2650,
الضبعة - القاهرة,الضبعة,31.028943,28.4443762,20,القاهرة,,,,false,3150,
مطروح - القاهرة,مطروح,,,,القاهرة,,,,false,3900,
الإسكندرية - السلوم,الإسكندرية,,,,السلوم,31.5516178,25.1542126,20,false,5750,
الإسكندرية - بورسعيد,الإسكندرية,,,,بورسعيد,31.263235,32.305505,20,false,2100,
الإسكندرية - دمياط,الإسكندرية,,,,دمياط,31.4167427,31.8213657,20,false,1675,
الإسكندرية - كفر الشيخ,الإسكندرية,,,,كفر الشيخ - المحلة,31.3814765,30.8513566,20,false,1625,
الإسكندرية - الإسماعيلية,الإسكندرية,,,,الإسماعيلية - السويس - السخنة حتى بورتو,30.6043775,32.2770825,20,false,2850,
الإسكندرية - المنصورة,الإسكندرية,,,,المنصورة,31.037566,31.38649,20,false,1650,
الإسكندرية - كفر الزيات,الإسكندرية,,,,كفر الزيات - طنطا - دسوق,30.8205561,30.815833,20,false,1250,
الإسكندرية - دمنهور,الإسكندرية,,,,دمنهور,31.0374982,30.4710625,20,false,900,
الإسكندرية - الزقازيق,الإسكندرية,,,,الزقازيق,30.5853431,31.5035127,20,false,2150,
الإسكندرية - الزعفرانة,الإسكندرية,,,,الزعفرانة,29.12,32.64,20,false,3050,
الإسكندرية - رأس سدر,الإسكندرية,,,,رأس سدر,29.593487,32.718536,20,false,3850,
الإسكندرية - شرم الشيخ,الإسكندرية,,,,شرم الشيخ,27.8644422,34.295447,20,false,5450,
الإسكندرية - دهب,الإسكندرية,,,,دهب - طابا - نويبع,28.4963633,34.5145652,20,false,6050,
الإسكندرية - الغردقة,الإسكندرية,,,,الغردقة,27.222556,33.8307062,20,false,5100,
الإسكندرية - مرسى علم,الإسكندرية,,,,مرسى علم,25.069992,34.893817,20,false,7000,
الإسكندرية - الفيوم,الإسكندرية,,,,الفيوم,29.3074076,30.8399651,20,false,2650,
الإسكندرية - قرية تونس الفيوم,الإسكندرية,,,,قرية تونس الفيوم,29.3982958,30.4924342,20,false,2750,
الإسكندرية - بني سويف,الإسكندرية,,,,بني سويف,29.0729812,31.0982562,20,false,3200,
الإسكندرية - المنيا,الإسكندرية,,,,المنيا,28.2125404,30.9123741,20,false,4200,
الإسكندرية - أسيوط,الإسكندرية,,,,أسيوط,27.1832822,31.1853836,20,false,5200,
الإسكندرية - سوهاج,الإسكندرية,,,,سوهاج,26.7624629,32.0909936,20,false,6400,
الإسكندرية - ميناء جرجوب,الإسكندرية,,,,ميناء جرجوب,31.5,26.55,20,false,3750,
الإسكندرية - الأقصر,الإسكندرية,,,,الأقصر,25.702096,32.647186,20,false,7200,
الإسكندرية - أسوان,الإسكندرية,,,,أسوان,24.091071,32.897306,20,false,9400,
