title,originLabel,originLat,originLng,originRadiusKm,destLabel,destLat,destLng,destRadiusKm,bidirectional,suv,minibus
مطار القاهرة الدولي - مدينة نصر,مطار القاهرة الدولي,30.1140504,31.4245461,20,مدينة نصر - مصر الجديدة,30.0521177,31.3422045,20,false,500,1200
مطار القاهرة الدولي - زمالك,مطار القاهرة الدولي,,,,زمالك - مهندسين - عجوزة - وسط البلد - الدقي - الرحاب - المعادي - جسر السويس - عين شمس - المطرية - الزيتون - التجمع - حدائق القبة,30.0629925,31.2196336,20,false,600,1300
مطار القاهرة الدولي - مافيدا,مطار القاهرة الدولي,,,,مافيدا - هايد بارك - العبور,30.1914,31.450548,20,false,650,
مطار القاهرة الدولي - الهرم,مطار القاهرة الدولي,,,,الهرم - فيصل - مريوطية - حتى ميدان الرماية,29.9791647,31.1342133,20,false,700,
مطار القاهرة الدولي - حدائق الأهرام,مطار القاهرة الدولي,,,,حدائق الأهرام - أكتوبر - الشروق - المستقبل,29.9693117,31.1011113,20,false,800,1400
مطار القاهرة الدولي - حلوان,مطار القاهرة الدولي,,,,حلوان - 15 مايو - بدر - العاشر من رمضان,29.8500001,31.333333,20,false,950,1500
مطار سفنكس - الرحاب,مطار سفنكس,30.1091976,30.8815747,20,الرحاب - التجمع - مدينة نصر - مصر الجديدة - المعادي - زهراء المعادي,30.063584,31.4889939,20,false,1000,1700
مطار سفنكس - أكتوبر,مطار سفنكس,,,,أكتوبر - الشيخ زايد - حدائق أكتوبر - حدائق الأهرام,29.963099,30.9548988,20,false,900,1500
مطار سفنكس - وسط البلد,مطار سفنكس,,,,وسط البلد - مهندسين - الدقي - العجوزة - الهرم - فيصل,30.0444,31.2357,20,false,950,1500
مطار سفنكس - مدينتي,مطار سفنكس,,,,مدينتي - مدينة بدر - مدينة المستقبل,30.0917368,31.6380608,20,false,1300,
أكتوبر والشيخ زايد ومطار سفنكس - الإسكندرية,أكتوبر والشيخ زايد ومطار سفنكس,29.9723458,30.9409205,20,الإسكندرية,31.1991806,29.8951716,20,false,1525,2800
القاهرة(وسط البلد حتى التجمع قبل الجامعة الأمريكية) - الإسكندرية,القاهرة(وسط البلد حتى التجمع قبل الجامعة الأمريكية),30.0443879,31.2357257,20,الإسكندرية,,,,false,1575,2800
القاهرة - مطار برج العرب ومدينة برج العرب,القاهرة,30.0443879,31.2357257,20,مطار برج العرب ومدينة برج العرب - أبو قير - معمورة البلد - العجمي,30.9003276,29.5512815,20,false,1675,
مطار القاهرة - الإسكندرية,مطار القاهرة - الرحاب - التجمع من أول الجامعة الأمريكية,30.1148264,31.350388,20,الإسكندرية,,,,false,1625,2800
مدينتي - الإسكندرية,مدينتي - المستقبل - الشروق - (البرج مدينة أو مطار),30.0917368,31.6380608,20,الإسكندرية,,,,false,1800,2800
العاشر - الإسكندرية,العاشر - بدر,30.3119,31.742,20,الإسكندرية,,,,false,1850,2800
العاصمة الإدارية - الإسكندرية,العاصمة الإدارية,30.023829,31.7549459,20,الإسكندرية,,,,true,1975,2800
القاهرة - سيدي كرير حتى بوابة الحمام (حتى الكيلو 60),القاهرة,,,,من سيدي كرير حتى بوابة الحمام (حتى الكيلو 60),31.0162538,29.6354183,20,false,2000,3200
القاهرة - مارينا من الكيلو 61 حتى الكيلو 100 مارينا 7,القاهرة,,,,مارينا من الكيلو 61 حتى الكيلو 100 مارينا 7,30.8367589,28.9838191,20,false,2550,3800
القاهرة - بورتو جولف مارينا,القاهرة,,,,بورتو جولف مارينا - ريكسوس بريميوم - عبدالرحمن - مراسي - العالمين حتى هايسيندا وايت (حتى الكيلو 140),30.838797,28.9241332,20,false,2850,4000
القاهرة - تلال,القاهرة,,,,تلال - غزالة - الضبعة (من الكيلو 141 حتى الكيلو 180 قرية إمارات هايتس),31.0132543,28.6054805,20,false,3050,4300
القاهرة - سيدي حنيش,القاهرة,,,,سيدي حنيش - رأس الحكمة - مطروح - فوكا باي,31.1633788,27.6285119,20,false,3750,4800
القاهرة - السلوم,القاهرة,,,,السلوم - مينا جرجوب,31.5516178,25.1542126,20,false,5800,9000
القاهرة - سيوة,القاهرة,,,,سيوة,29.2034664,25.5192273,20,false,7400,9000
القاهرة - وادي النطرون,القاهرة,,,,وادي النطرون - السادات,30.3782016,30.3552079,20,false,1500,2500
القاهرة - دمنهور,القاهرة,,,,دمنهور - كفر الزيات - كفر الدوار - مدينة البرج أو مطار البرج,31.0374982,30.4710625,20,false,1725,2800
القاهرة - كفر الشيخ المحافظة,القاهرة,,,,كفر الشيخ المحافظة - المحلة - المنصورة,31.3811,30.8511,20,false,1600,3000
القاهرة - شربين,القاهرة,,,,شربين - بلقاس - سيدي سالم - دسوق - فاقوس - أبو كبير,31.1915543,31.5265923,20,false,1800,
القاهرة - الزقازيق,القاهرة,,,,الزقازيق - ميت غمر,30.5853431,31.5035127,20,false,1300,2600
القاهرة - الإسماعيلية,القاهرة,,,,الإسماعيلية - السويس - المنوفية - طنطا,30.6043775,32.2770825,20,false,1500,2600
القاهرة - بنها,القاهرة,,,,بنها - العاصمة الإدارية,30.4624974,31.184063,20,false,1050,2200
القاهرة - بورسعيد,القاهرة,,,,بورسعيد - بورفؤاد,31.263235,32.305505,20,false,1800,2800
القاهرة - دمياط,القاهرة,,,,دمياط - بورتو سعيد,31.4167427,31.8213657,20,false,1950,3800
القاهرة - رأس البر,القاهرة,,,,رأس البر,31.5132392,31.8337309,20,false,2050,3800
القاهرة - السخنة حتى بورتو السخنة,القاهرة,,,,السخنة حتى بورتو السخنة,29.6396099,32.3057406,20,false,1600,2500
القاهرة - السخنة (للزعفرانة),القاهرة,,,,السخنة (للزعفرانة),29.6396099,32.3057406,20,false,1750,2800
القاهرة - الغردقة,القاهرة,,,,الغردقة - الجونة,27.222556,33.8307062,20,false,3550,5000
القاهرة - مكادي,القاهرة,,,,مكادي - سهل حشيش,26.9932037,33.9104975,20,false,3650,5300
القاهرة - سوما باي,القاهرة,,,,سوما باي - سفاجا,26.8369628,33.9490137,20,false,3750,5300
القاهرة - القصير,القاهرة,,,,القصير,26.104836,34.279764,20,false,4850,6500
القاهرة - مرسى علم,القاهرة,,,,مرسى علم,25.069992,34.893817,20,false,6050,7500
القاهرة - رأس سدر,القاهرة,,,,رأس سدر,29.593487,32.718536,20,false,2400,3750
القاهرة - رأس سدر بعد رأس مطارمة,القاهرة,,,,رأس سدر بعد رأس مطارمة,29.593487,32.718536,20,false,2500,3800
القاهرة - شرم الشيخ,القاهرة,,,,شرم الشيخ,27.8644422,34.295447,20,false,4000,5500
القاهرة - دهب,القاهرة,,,,دهب - سانت كاترين,28.4963633,34.5145652,20,false,4500,6000
القاهرة - نويبع,القاهرة,,,,نويبع - طابا - رأس شيطان,29.035,34.661667,20,false,5200,6500
القاهرة - الفيوم,القاهرة,,,,الفيوم - بني سويف,29.3074076,30.8399651,20,false,1600,2500
القاهرة - قرية تونس,القاهرة,,,,قرية تونس,29.3982958,30.4924342,20,false,1700,2800
القاهرة - المنيا,القاهرة,,,,المنيا,28.2125404,30.9123741,20,false,2550,3750
القاهرة - ملوي,القاهرة,,,,ملوي,27.731944,30.8411109,20,false,2850,4000
القاهرة - أسيوط,القاهرة,,,,أسيوط,27.1832822,31.1853836,20,false,3450,5000
القاهرة - سوهاج,القاهرة,,,,سوهاج,26.7624629,32.0909936,20,false,4450,6000
القاهرة - نجع حمادي,القاهرة,,,,نجع حمادي - قنا,26.0489911,32.2416339,20,false,5450,
القاهرة - الأقصر,القاهرة,,,,الأقصر,25.702096,32.647186,20,false,7000,8500
القاهرة - أسوان,القاهرة,,,,أسوان,24.091071,32.897306,20,false,9300,12000
